fips,state,county,start_time,duration,min_customers,max_customers,mean_customers
1001,Alabama,Autauga,2016-01-23 10:30:00,2.0,381,382,381.5
1001,Alabama,Autauga,2016-02-15 23:45:00,2.0,270,1583,983.875
1001,Alabama,Autauga,2016-02-24 04:15:00,0.25,201,201,201.0
1001,Alabama,Autauga,2016-03-04 20:30:00,0.25,264,264,264.0
1001,Alabama,Autauga,2016-03-15 13:45:00,2.5,845,845,845.0
1001,Alabama,Autauga,2016-03-17 22:15:00,0.5,593,593,593.0
1001,Alabama,Autauga,2016-04-05 17:30:00,0.5,1001,1001,1001.0
1001,Alabama,Autauga,2016-04-13 19:30:00,0.5,588,588,588.0
1001,Alabama,Autauga,2016-04-30 02:15:00,2.75,534,639,590.9090909090909
1001,Alabama,Autauga,2016-06-17 21:30:00,6.75,624,928,899.8148148148148
1001,Alabama,Autauga,2016-07-09 19:30:00,0.25,205,205,205.0
1001,Alabama,Autauga,2016-07-09 20:00:00,0.25,200,200,200.0
1001,Alabama,Autauga,2016-07-11 15:30:00,0.5,1020,1020,1020.0
1001,Alabama,Autauga,2016-07-13 14:45:00,0.25,542,542,542.0
1001,Alabama,Autauga,2016-07-27 13:30:00,1.0,540,696,657.0
1001,Alabama,Autauga,2016-09-11 19:30:00,0.25,292,292,292.0
1001,Alabama,Autauga,2016-09-11 20:00:00,0.25,379,379,379.0
1001,Alabama,Autauga,2016-09-11 20:30:00,1.5,207,248,230.5
1001,Alabama,Autauga,2016-09-11 23:30:00,0.5,690,708,699.0
1001,Alabama,Autauga,2016-09-13 21:30:00,0.25,904,904,904.0
1001,Alabama,Autauga,2016-09-13 22:00:00,0.25,904,904,904.0
1001,Alabama,Autauga,2016-09-14 16:30:00,1.5,498,499,498.8333333333333
1001,Alabama,Autauga,2016-11-19 21:00:00,1.0,642,642,642.0
1001,Alabama,Autauga,2016-11-28 17:15:00,0.5,261,261,261.0
1001,Alabama,Autauga,2016-11-29 17:00:00,2.0,298,301,298.375
1001,Alabama,Autauga,2016-12-06 19:30:00,1.0,295,295,295.0
