event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1001,Alabama,Autauga,2019-04-19 01:15:00,1.75,2019-04-19 03:00:00,273.0,326.0,315.85714285714283
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1001,Alabama,Autauga,2019-04-19 06:30:00,0.25,2019-04-19 06:45:00,233.0,233.0,233.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1001,Alabama,Autauga,2019-04-22 14:45:00,1.25,2019-04-22 16:00:00,206.0,827.0,330.2
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1001,Alabama,Autauga,2019-04-22 16:15:00,0.25,2019-04-22 16:30:00,817.0,817.0,817.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1001,Alabama,Autauga,2019-04-22 17:00:00,0.25,2019-04-22 17:15:00,200.0,200.0,200.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1003,Alabama,Baldwin,2019-04-19 00:45:00,7.0,2019-04-19 07:45:00,203.0,2868.0,792.6785714285714
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1003,Alabama,Baldwin,2019-04-19 17:00:00,0.75,2019-04-19 17:45:00,646.0,1732.0,1370.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1005,Alabama,Barbour,2019-04-19 08:30:00,5.25,2019-04-19 13:45:00,454.0,520.0,464.23809523809524
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1007,Alabama,Bibb,2019-04-19 00:15:00,0.25,2019-04-19 00:30:00,259.0,259.0,259.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1007,Alabama,Bibb,2019-04-19 00:45:00,4.5,2019-04-19 05:15:00,217.0,848.0,516.4444444444445
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1007,Alabama,Bibb,2019-04-19 05:30:00,3.25,2019-04-19 08:45:00,226.0,248.0,242.6153846153846
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1007,Alabama,Bibb,2019-04-19 11:15:00,1.25,2019-04-19 12:30:00,339.0,344.0,341.4
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1009,Alabama,Blount,2019-04-19 01:30:00,4.75,2019-04-19 06:15:00,284.0,917.0,614.1578947368421
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1013,Alabama,Butler,2019-04-19 02:15:00,7.5,2019-04-19 09:45:00,233.0,2041.0,852.1333333333333
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1013,Alabama,Butler,2019-04-19 10:00:00,0.75,2019-04-19 10:45:00,220.0,235.0,227.33333333333334
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1015,Alabama,Calhoun,2019-04-19 22:15:00,13.5,2019-04-20 11:45:00,555.0,638.0,574.8333333333334
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1017,Alabama,Chambers,2019-04-19 11:00:00,0.25,2019-04-19 11:15:00,569.0,569.0,569.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1021,Alabama,Chilton,2019-04-19 00:15:00,0.25,2019-04-19 00:30:00,540.0,540.0,540.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1023,Alabama,Choctaw,2019-04-19 00:15:00,1.5,2019-04-19 01:45:00,445.0,581.0,513.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1023,Alabama,Choctaw,2019-04-19 02:00:00,1.5,2019-04-19 03:30:00,200.0,201.0,200.16666666666666
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1023,Alabama,Choctaw,2019-04-19 16:45:00,0.5,2019-04-19 17:15:00,277.0,277.0,277.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1025,Alabama,Clarke,2019-04-19 04:30:00,1.75,2019-04-19 06:15:00,695.0,695.0,695.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1029,Alabama,Cleburne,2019-04-19 10:00:00,0.5,2019-04-19 10:30:00,201.0,201.0,201.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1029,Alabama,Cleburne,2019-04-19 23:30:00,1.0,2019-04-20 00:30:00,295.0,295.0,295.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1031,Alabama,Coffee,2019-04-20 16:45:00,1.5,2019-04-20 18:15:00,359.0,812.0,736.0
Alabama-0,Alabama,2019-04-18 19:55:00,2019-04-19 17:29:00,Severe Weather,1039,Alabama,Covington,2019-04-19 13:15:00,2.25,2019-04-19 15:30:00,368.0,400.0,390.22222222222223
