fips,state,county,start_time,duration,min_customers,max_customers,mean_customers
1001,Alabama,Autauga,2022-01-03 04:00:00,5.75,452,723,583.4782608695652
1001,Alabama,Autauga,2022-01-08 20:30:00,0.75,406,615,475.6666666666667
1001,Alabama,Autauga,2022-01-22 15:00:00,1.25,634,658,643.6
1001,Alabama,Autauga,2022-01-25 17:30:00,0.25,954,954,954.0
1001,Alabama,Autauga,2022-02-03 13:00:00,1.5,610,610,610.0
1001,Alabama,Autauga,2022-02-03 19:15:00,0.25,332,332,332.0
1001,Alabama,Autauga,2022-02-03 23:15:00,0.25,432,432,432.0
1001,Alabama,Autauga,2022-02-17 16:15:00,1.25,293,940,570.6
1001,Alabama,Autauga,2022-03-01 14:45:00,0.5,628,1039,833.5
1001,Alabama,Autauga,2022-03-12 08:00:00,1.75,449,541,522.1428571428571
1001,Alabama,Autauga,2022-03-17 13:15:00,0.25,538,538,538.0
1001,Alabama,Autauga,2022-03-18 13:15:00,1.75,267,441,352.7142857142857
1001,Alabama,Autauga,2022-03-28 13:45:00,0.5,423,424,423.5
1001,Alabama,Autauga,2022-03-30 19:30:00,4.75,233,1333,367.1578947368421
1001,Alabama,Autauga,2022-03-31 06:00:00,0.75,208,208,208.0
1001,Alabama,Autauga,2022-03-31 13:00:00,1.75,738,743,740.2857142857143
1001,Alabama,Autauga,2022-04-05 12:30:00,1.25,687,872,796.0
1001,Alabama,Autauga,2022-04-05 14:00:00,0.75,321,426,390.6666666666667
1001,Alabama,Autauga,2022-04-14 05:45:00,0.5,1573,1574,1573.5
1001,Alabama,Autauga,2022-04-23 17:45:00,0.5,207,211,209.0
1001,Alabama,Autauga,2022-05-15 06:00:00,1.25,211,211,211.0
1001,Alabama,Autauga,2022-05-18 15:45:00,0.25,482,482,482.0
1001,Alabama,Autauga,2022-05-23 09:45:00,3.0,460,1065,694.3333333333334
1001,Alabama,Autauga,2022-05-24 21:15:00,1.0,212,212,212.0
1001,Alabama,Autauga,2022-05-26 15:15:00,1.25,288,294,291.6
1001,Alabama,Autauga,2022-05-29 19:30:00,0.5,1131,1139,1135.0
1001,Alabama,Autauga,2022-06-09 21:15:00,4.75,282,412,349.89473684210526
1001,Alabama,Autauga,2022-06-16 02:45:00,3.25,343,1940,1142.4615384615386
1001,Alabama,Autauga,2022-06-17 23:45:00,2.5,203,1057,402.6
1001,Alabama,Autauga,2022-06-18 05:45:00,2.5,200,238,222.1
1001,Alabama,Autauga,2022-06-21 02:00:00,2.0,347,532,370.75
1001,Alabama,Autauga,2022-06-24 12:00:00,2.5,290,396,324.2
1001,Alabama,Autauga,2022-06-29 02:00:00,2.25,468,1252,854.1111111111111
1001,Alabama,Autauga,2022-07-22 00:30:00,7.75,224,3334,1291.483870967742
1001,Alabama,Autauga,2022-07-26 08:45:00,3.25,662,1379,782.6923076923077
1001,Alabama,Autauga,2022-07-26 18:00:00,1.0,631,631,631.0
1001,Alabama,Autauga,2022-08-01 20:45:00,1.5,225,268,247.0
1001,Alabama,Autauga,2022-08-03 00:00:00,1.75,356,376,365.85714285714283
1001,Alabama,Autauga,2022-08-03 02:30:00,1.75,846,869,852.8571428571429
1001,Alabama,Autauga,2022-08-07 01:30:00,3.0,217,278,251.75
1001,Alabama,Autauga,2022-08-10 01:00:00,0.5,300,307,303.5
1001,Alabama,Autauga,2022-08-15 15:45:00,0.75,205,205,205.0
1001,Alabama,Autauga,2022-08-15 16:45:00,1.25,205,666,412.0
