load_amount,K_cl,K_q,gap_abs,gap_rel_percent,mean_delta,p95_delta,runs
0.1,0.106,0.364,0.258,70.88,0.1578,0.3472,500
0.15,0.142,0.642,0.5,77.88,0.1969,0.3541,500
0.2,0.18,0.782,0.602,76.98,0.2293,0.3608,500
0.25,0.232,0.866,0.634,73.21,0.2557,0.3657,500
0.3,0.314,0.902,0.588,65.19,0.2767,0.3706,500
0.35,0.438,0.93,0.492,52.9,0.2929,0.374,500
0.4,0.526,0.944,0.418,44.28,0.3057,0.3802,500
0.45,0.612,0.964,0.352,36.51,0.3159,0.3853,500
0.5,0.676,0.97,0.294,30.31,0.3242,0.3873,500
0.52,0.688,0.974,0.286,29.36,0.3272,0.3886,500
0.55,0.718,0.978,0.26,26.58,0.3312,0.3912,500
0.57,0.736,0.978,0.242,24.74,0.3336,0.392,500
0.6,0.762,0.978,0.216,22.09,0.3369,0.3934,500
