theta_node,TP,FP,FN,TN,sensitivity,specificity,FPR,precision,F1,K_cl,K_q
0.2,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.25,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.3,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.35,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.4,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.45,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.5,87,0,385,28,0.1843,1.0,0.0,1.0,0.3113,0.174,0.944
0.55,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.6,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.65,0,0,472,28,0.0,1.0,0.0,0.0,0.0,0.0,0.944
0.7,263,0,209,28,0.5572,1.0,0.0,1.0,0.7156,0.526,0.944
0.75,215,0,257,28,0.4555,1.0,0.0,1.0,0.6259,0.43,0.944
0.8,148,0,324,28,0.3136,1.0,0.0,1.0,0.4774,0.296,0.944
0.85,100,0,372,28,0.2119,1.0,0.0,1.0,0.3497,0.2,0.944
0.9,51,0,421,28,0.1081,1.0,0.0,1.0,0.195,0.102,0.944
