run,run_id,seed,before,after,delta,duration,I_q,I_cl,theta_classical,delta_sector_threshold,method_q_total_before,method_q_total_after,method_cl_total_before,method_cl_total_after,delta_R,stochastic_scale,risk_trajectory_q,risk_trajectory_cl,before_vec_q,after_vec_q,delta_vec_q,before_vec_cl,after_vec_cl,delta_vec_cl,scenario_name,scenario_label,scenario_type,case_label,selection_reason,cl_activated_sectors,cl_first_activation_step,step_1_amount,theta_node
1,1,12795707068540643832,0.446667,1.0,0.553333,18,1,1,0.3,0.1,0.446667,1.0,0.0,1.0,0.553333,0.3,"{""energy"":[0.666667,1.0],""water"":[0.266667,1.0],""transport"":[0.333333,1.0]}","{""energy"":[0.0,1.0],""water"":[0.0,1.0],""transport"":[0.0,1.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":0.33333333333333326,""water"":0.7333333333333333,""transport"":0.6666666666666666}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}",S1_energy_outage,S1: Energy Outage (Saturated),extreme,max_delta,S1 saturated: maximum delta_R run — strongest cascade in extreme scenario,"[""water"",""transport""]",1,,0.7
720,720,14912262846047959672,0.446667,0.952927,0.50626,15,1,1,0.3,0.1,0.446667,0.952927,0.0,1.0,0.50626,0.3,"{""energy"":[0.666667,1.0],""water"":[0.266667,0.84309],""transport"":[0.333333,1.0]}","{""energy"":[0.0,1.0],""water"":[0.0,1.0],""transport"":[0.0,1.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":1.0,""water"":0.8430904001657746,""transport"":1.0}","{""energy"":0.33333333333333326,""water"":0.5764237334991079,""transport"":0.6666666666666666}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}",S1_energy_outage,S1: Energy Outage (Saturated),extreme,both_detect,S1 saturated: median delta_R run — typical cascade in extreme scenario,"[""water"",""transport""]",1,,0.7
758,758,13033484792631668188,0.446667,0.556136,0.109469,7,1,1,0.3,0.1,0.446667,0.556136,0.0,1.0,0.109469,0.3,"{""energy"":[0.666667,0.785932],""water"":[0.266667,0.322849],""transport"":[0.333333,0.483028]}","{""energy"":[0.0,1.0],""water"":[0.0,1.0],""transport"":[0.0,1.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":0.7859319485881591,""water"":0.3228492388338823,""transport"":0.4830283554044026}","{""energy"":0.11926528192149233,""water"":0.05618257216721556,""transport"":0.14969502207106922}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}",S1_energy_outage,S1: Energy Outage (Saturated),extreme,both_detect,S1 saturated: minimum delta_R run — weakest cascade yet still detected by both methods,"[""water"",""transport""]",1,,0.7
16,16,10571313377567964352,0.446667,0.921731,0.475064,5,1,1,0.3,0.1,0.446667,0.921731,0.0,1.0,0.475064,0.3,"{""energy"":[0.666667,1.0],""water"":[0.266667,0.739102],""transport"":[0.333333,1.0]}","{""energy"":[0.0,1.0],""water"":[0.0,1.0],""transport"":[0.0,1.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":1.0,""water"":0.7391018373300381,""transport"":1.0}","{""energy"":0.33333333333333326,""water"":0.4724351706633714,""transport"":0.6666666666666666}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}",S1_energy_outage,S1: Energy Outage (Saturated),extreme,both_detect,S1 saturated: shortest duration run — cascade is fast (short outage still catastrophic),"[""water"",""transport""]",1,,0.7
986,986,17068279280735404184,0.446667,0.9093,0.462633,30,1,1,0.3,0.1,0.446667,0.9093,0.0,1.0,0.462633,0.3,"{""energy"":[0.666667,1.0],""water"":[0.266667,0.697665],""transport"":[0.333333,1.0]}","{""energy"":[0.0,1.0],""water"":[0.0,1.0],""transport"":[0.0,1.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":1.0,""water"":0.6976652141020817,""transport"":1.0}","{""energy"":0.33333333333333326,""water"":0.430998547435415,""transport"":0.6666666666666666}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}",S1_energy_outage,S1: Energy Outage (Saturated),extreme,both_detect,S1 saturated: longest duration run — maximum exposure cascade,"[""water"",""transport""]",1,,0.7
387,387,10372324319104722918,0.446667,0.830518,0.383851,12,1,0,0.3,0.1,0.446667,0.830518,0.0,0.0,0.383851,0.3,"{""energy"":[0.666667,0.895488],""water"":[0.266667,0.57441],""transport"":[0.333333,1.0]}","{""energy"":[0.0,0.0],""water"":[0.0,0.0],""transport"":[0.0,0.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":0.8954875992139053,""water"":0.5744103109188619,""transport"":1.0}","{""energy"":0.22882093254723856,""water"":0.30774364425219514,""transport"":0.6666666666666666}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":0.0,""water"":0.0,""transport"":0.0}",S3_transport_load,S3: Transport Load +40% (Marginal),marginal,q_only,"S3 marginal: quantitative detects, classical misses — highest delta_R q_only case; key demonstration of representation gap",[],,0.343671,0.7
290,290,11117110852051854545,0.446667,0.727301,0.280635,22,1,0,0.3,0.1,0.446667,0.727301,0.0,0.0,0.280635,0.3,"{""energy"":[0.666667,0.842063],""water"":[0.266667,0.383598],""transport"":[0.333333,0.917989]}","{""energy"":[0.0,0.0],""water"":[0.0,0.0],""transport"":[0.0,0.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":0.8420634306516922,""water"":0.3835978426566837,""transport"":0.9179892132834182}","{""energy"":0.17539676398502546,""water"":0.11693117599001696,""transport"":0.5846558799500848}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":0.0,""water"":0.0,""transport"":0.0}",S3_transport_load,S3: Transport Load +40% (Marginal),marginal,q_only,"S3 marginal: quantitative detects, classical misses — median delta_R q_only case",[],,0.292883,0.7
44,44,14710134947916348776,0.446667,0.516321,0.069654,21,1,0,0.3,0.1,0.446667,0.516321,0.0,0.0,0.069654,0.3,"{""energy"":[0.666667,0.699167],""water"":[0.266667,0.390334],""transport"":[0.333333,0.398512]}","{""energy"":[0.0,0.0],""water"":[0.0,0.0],""transport"":[0.0,0.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":0.699166634632754,""water"":0.39033414622194423,""transport"":0.39851236078349295}","{""energy"":0.03249996796608723,""water"":0.12366747955527752,""transport"":0.06517902745015958}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":0.0,""water"":0.0,""transport"":0.0}",S3_transport_load,S3: Transport Load +40% (Marginal),marginal,near_threshold,S3 marginal: q_only near detection boundary — lowest delta_R q_only; illustrates marginal detection regime,[],,0.010109,0.7
305,305,11120816393554572748,0.446667,0.879521,0.432855,25,1,1,0.3,0.1,0.446667,0.879521,0.0,1.0,0.432855,0.3,"{""energy"":[0.666667,0.989231],""water"":[0.266667,0.612762],""transport"":[0.333333,1.0]}","{""energy"":[0.0,1.0],""water"":[0.0,1.0],""transport"":[0.0,1.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":0.989231413431974,""water"":0.6127623353519316,""transport"":1.0}","{""energy"":0.3225647467653072,""water"":0.34609566868526487,""transport"":0.6666666666666666}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}",S3_transport_load,S3: Transport Load +40% (Marginal),marginal,both_detect,S3 marginal: both methods detect — highest load step; confirms agreement at high stress,"[""energy"",""water""]",1,1.221802,0.7
961,961,12463283626649471938,0.446667,0.808742,0.362076,15,1,1,0.3,0.1,0.446667,0.808742,0.0,1.0,0.362076,0.3,"{""energy"":[0.666667,0.936793],""water"":[0.266667,0.446751],""transport"":[0.333333,1.0]}","{""energy"":[0.0,1.0],""water"":[0.0,1.0],""transport"":[0.0,1.0]}","{""energy"":0.6666666666666667,""water"":0.2666666666666667,""transport"":0.33333333333333337}","{""energy"":0.9367929478790683,""water"":0.4467508541416011,""transport"":1.0}","{""energy"":0.27012628121240156,""water"":0.18008418747493438,""transport"":0.6666666666666666}","{""energy"":0.0,""water"":0.0,""transport"":0.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}","{""energy"":1.0,""water"":1.0,""transport"":1.0}",S3_transport_load,S3: Transport Load +40% (Marginal),marginal,both_detect,S3 marginal: both methods detect — median load step both_detect case,"[""energy"",""water""]",1,0.487363,0.7
