scenario_name,scenario_label,scenario_role,artifact_prefix,runs,K_cl,K_q,K_qi,gap_abs,gap_rel_percent,mean_delta_R,p95_delta_R,mean_duration,stochastic_scale,theta_node,theta_classical,initiator,load_amount,sector,interpretation,recommended_for_stand
S1_energy_outage,S1: Energy Outage (Saturated),extreme,mc_baseline_theta070_1000,1000,1.0,1.0,,0.0,0.0,0.491,0.553,18.0,0.3,0.7,0.3,outage,0.0,energy,Full energy outage drives all sectors past theta_node=0.70. Both methods detect 100% cascades — saturated regime. Useful as extreme reference; cannot distinguish methods.,1
S3_transport_load,S3: Transport Load +40% (Marginal),marginal,mc_marginal_s3_load040_1000,1000,0.534,0.956,,0.422,44.1,0.309,0.38,17.5,0.3,0.7,0.3,load_increase,0.4,transport,"Transport load +40%. K_q=0.956 >> K_cl=0.534, gap=42.2pp. Quantitative fires when load>=0.135 (continuous propagation); classical needs threshold crossing at load>=0.401. Primary case for demonstrating method gap. FPR=0 confirmed.",1
S1b_energy_partial,S1b: Energy Partial Degradation,partial_degradation,mc_s1b_1000,1000,0.423,0.631,,0.208,33.0,0.196,0.379,17.6,0.3,0.7,0.3,load_increase,0.01,energy,"Small energy load (+1%). K_q=0.631 > K_cl=0.423, gap=20.8pp. Shows that even tiny perturbations are detectable by quantitative method when propagated through high-weight energy->other edges.",0
S4_water_partial,S4: Water Partial Degradation +70%,partial_degradation,mc_s4_1000,1000,0.416,0.876,,0.46,52.5,0.319,0.553,17.5,0.3,0.7,0.3,load_increase,0.7,water,"Water load +70%. K_q=0.876 >> K_cl=0.416, gap=46.0pp — largest absolute gap across all N=1000 experiments. Water->energy->transport cascade detectable quantitatively before threshold crossing.",1
S3_transport_load_factorial,S3 Factorial: classical vs quantitative vs iterative,factorial_comparison,factorial_s3_1000,1000,0.534,0.956,1.0,0.422,44.1,0.309,0.38,,0.3,0.7,0.3,load_increase,0.4,transport,2×2 factorial: representation gap (binary vs continuous) = 90.6% of total gap. Iteration gap (K_qi - K_q) = 9.4%. K_qi=1.0 indicates full detection with iterative operator.,1
S1_energy_outage_factorial,S1 Factorial: saturated reference,factorial_saturated,factorial_s1_1000,1000,1.0,1.0,1.0,0.0,0.0,0.491,0.553,,0.3,0.7,0.3,outage,0.0,energy,S1 saturated: K_cl=K_q=K_qi=1.0 — all methods agree on 100% cascade detection. No method gap in saturated regime. Used as control for factorial.,0
S3_theta_sweep_best_gap,S3 Theta Sweep: max gap at theta=0.2,sweep_theta_best,theta_sweep/theta_2,500,0.0,0.944,,0.944,94400000000.0,0.3056859911223059,0.38024134826332223,,0.3,0.2,0.3,load_increase,0.4,transport,Theta sweep point with maximum classical/quantitative gap. K_q remains stable (~0.944); K_cl is maximized at theta=0.2.,0
S4_severity_sweep_best_gap,S4 Severity Sweep: max gap at severity=0.45,sweep_severity_best,severity_sweep_water_0p45,500,0.092,0.642,,0.55,,0.2168,0.4722,,0.3,0.7,0.3,load_increase,0.45,water,Water severity sweep point with maximum gap: severity=0.45. K_q detects much earlier along severity curve than K_cl.,0
S3_transport_load_L015,S3: CAISO Mild Analog (load=0.15),caiso_mild_analog,load_sweep/load_015,500,0.142,0.642,,0.500,352.1,0.197,0.354,,0.3,0.7,0.3,load_increase,0.15,transport,"CAISO mild stress analog (3-5% demand reduction). K_q=0.642 vs K_cl=0.142. gap_abs=0.500 (50pp). Quantitative detects sub-threshold cascade; classical largely misses. Added for CAISO range calibration.",1
S3_transport_load_L020,S3: CAISO Intermediate Analog (load=0.20),caiso_intermediate_analog,load_sweep/load_020,500,0.180,0.782,,0.602,334.4,0.229,0.361,,0.3,0.7,0.3,load_increase,0.20,transport,"CAISO moderate stress analog (5-8% demand reduction). gap_abs=0.602 — MAXIMUM across entire S3 load sweep (13 points). Maximum method-gap zone. Added for literature-anchored range calibration.",1
S4_water_partial_sev050,S4: Water Partial Moderate (severity=0.50),water_partial_moderate,severity_sweep_water_0p50,500,0.150,0.698,,0.548,365.3,0.241,0.488,,0.3,0.7,0.3,load_increase,0.50,water,"Water partial degradation at severity=0.50. Corroborates maximum gap zone with gap_abs=0.548. Jackson MS mid-phase + URI ~45% water population analog. Added for range calibration.",1
S1b_uri_intermediate,S1b: URI Intermediate Energy (N=1000 dedicated),uri_intermediate,mc_s1b_1000,1000,0.423,0.631,,0.208,49.2,0.196,0.379,,0.3,0.7,0.3,load_increase,0.01,energy,"URI 2021 partial energy analog (probabilistic near-threshold). K_cl=0.423 centered on spectrum between S1 (1.0) and sub-threshold (0). SE(K_cl)≈0.016. Best available intermediate energy point for URI analog.",1
