theta_node,K_cl,K_q,gap_abs,gap_rel_percent,mean_delta,p95_delta,runs
0.2,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.25,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.3,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.35,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.4,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.45,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.5,0.174,0.944,0.77,81.57,0.3057,0.3802,500
0.55,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.6,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.65,0.0,0.944,0.944,100.0,0.3057,0.3802,500
0.7,0.526,0.944,0.418,44.28,0.3057,0.3802,500
0.75,0.43,0.944,0.514,54.45,0.3057,0.3802,500
0.8,0.296,0.944,0.648,68.64,0.3057,0.3802,500
0.85,0.2,0.944,0.744,78.81,0.3057,0.3802,500
0.9,0.102,0.944,0.842,89.19,0.3057,0.3802,500
