scenario_name,run,run_id,method,step_index,sector,risk_value,I_q,I_cl,case_label,scenario_type
S1_energy_outage,1,1,quantitative,0,energy,0.666667,1,1,max_delta,extreme
S1_energy_outage,1,1,quantitative,1,energy,1.0,1,1,max_delta,extreme
S1_energy_outage,1,1,classical,0,energy,0.0,1,1,max_delta,extreme
S1_energy_outage,1,1,classical,1,energy,1.0,1,1,max_delta,extreme
S1_energy_outage,1,1,quantitative,0,water,0.266667,1,1,max_delta,extreme
S1_energy_outage,1,1,quantitative,1,water,1.0,1,1,max_delta,extreme
S1_energy_outage,1,1,classical,0,water,0.0,1,1,max_delta,extreme
S1_energy_outage,1,1,classical,1,water,1.0,1,1,max_delta,extreme
S1_energy_outage,1,1,quantitative,0,transport,0.333333,1,1,max_delta,extreme
S1_energy_outage,1,1,quantitative,1,transport,1.0,1,1,max_delta,extreme
S1_energy_outage,1,1,classical,0,transport,0.0,1,1,max_delta,extreme
S1_energy_outage,1,1,classical,1,transport,1.0,1,1,max_delta,extreme
S1_energy_outage,720,720,quantitative,0,energy,0.666667,1,1,both_detect,extreme
S1_energy_outage,720,720,quantitative,1,energy,1.0,1,1,both_detect,extreme
S1_energy_outage,720,720,classical,0,energy,0.0,1,1,both_detect,extreme
S1_energy_outage,720,720,classical,1,energy,1.0,1,1,both_detect,extreme
S1_energy_outage,720,720,quantitative,0,water,0.266667,1,1,both_detect,extreme
S1_energy_outage,720,720,quantitative,1,water,0.84309,1,1,both_detect,extreme
S1_energy_outage,720,720,classical,0,water,0.0,1,1,both_detect,extreme
S1_energy_outage,720,720,classical,1,water,1.0,1,1,both_detect,extreme
S1_energy_outage,720,720,quantitative,0,transport,0.333333,1,1,both_detect,extreme
S1_energy_outage,720,720,quantitative,1,transport,1.0,1,1,both_detect,extreme
S1_energy_outage,720,720,classical,0,transport,0.0,1,1,both_detect,extreme
S1_energy_outage,720,720,classical,1,transport,1.0,1,1,both_detect,extreme
S1_energy_outage,758,758,quantitative,0,energy,0.666667,1,1,both_detect,extreme
S1_energy_outage,758,758,quantitative,1,energy,0.785932,1,1,both_detect,extreme
S1_energy_outage,758,758,classical,0,energy,0.0,1,1,both_detect,extreme
S1_energy_outage,758,758,classical,1,energy,1.0,1,1,both_detect,extreme
S1_energy_outage,758,758,quantitative,0,water,0.266667,1,1,both_detect,extreme
S1_energy_outage,758,758,quantitative,1,water,0.322849,1,1,both_detect,extreme
S1_energy_outage,758,758,classical,0,water,0.0,1,1,both_detect,extreme
S1_energy_outage,758,758,classical,1,water,1.0,1,1,both_detect,extreme
