alpha,scenario,K_cl,K_q,delta_K,mean_delta,se_cl,se_q
0,S3_transport,0.594,0.879,0.285,0.2334,0.0155,0.0103
1,S3_transport,0.584,0.891,0.307,0.234,0.0156,0.0099
2,S3_transport,0.584,0.879,0.295,0.2324,0.0156,0.0103
3,S3_transport,0.598,0.886,0.288,0.2362,0.0155,0.0101
5,S3_transport,0.559,0.878,0.319,0.227,0.0157,0.0103
8,S3_transport,0.581,0.87,0.289,0.2289,0.0156,0.0106
10,S3_transport,0.574,0.885,0.311,0.2301,0.0156,0.0101
15,S3_transport,0.604,0.88,0.276,0.2354,0.0155,0.0103
20,S3_transport,0.594,0.888,0.294,0.2336,0.0155,0.01
0,S4_water,0.592,1.0,0.408,0.4062,0.0155,0.0
1,S4_water,0.604,1.0,0.396,0.3856,0.0155,0.0
2,S4_water,0.615,1.0,0.385,0.3764,0.0154,0.0
3,S4_water,0.591,1.0,0.409,0.3728,0.0155,0.0
5,S4_water,0.559,1.0,0.441,0.364,0.0157,0.0
8,S4_water,0.566,1.0,0.434,0.3637,0.0157,0.0
10,S4_water,0.563,0.998,0.435,0.3625,0.0157,0.0014
15,S4_water,0.528,0.999,0.471,0.3569,0.0158,0.001
20,S4_water,0.559,1.0,0.441,0.361,0.0157,0.0
