scenario_id,run_id,run,seed,cache_key,cache_hit,randomized_params,x0_hash,before,after,delta,duration,method_cl_total_before,method_cl_total_after,method_q_total_before,method_q_total_after,I_cl,I_q,delta_R,before_vec_q,after_vec_q,delta_vec_q,before_vec_cl,after_vec_cl,delta_vec_cl,theta_classical,delta_sector_threshold,theta_node,method_qi_total_before,method_qi_total_after,delta_qi,I_qi,before_vec_qi,after_vec_qi,delta_vec_qi,convergence_steps,peak_after_q,final_after_recovery_q,recovery_trajectory_q,cl_activated_sectors,cl_first_activation_step,matrix_version,theta_bin,theta_cascade
S1b_energy_partial,1,1,7503052176777656031,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=1|seed=7503052176777656031,False,"{""step_1_amount"": 0.012543728814023528}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7683812065865633,0.3217145399198965,10,0.0,1.0,0.44666666666666677,0.7683812065865633,1,1,0.3217145399198965,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8898892371603201, ""water"": 0.405319255491841, ""transport"": 0.9694324502496099}","{""energy"": 0.22322257049365335, ""water"": 0.13865258882517428, ""transport"": 0.6360991169162765}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.7683812065865633,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,2,2,5972002773307931991,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=2|seed=5972002773307931991,False,"{""step_1_amount"": 0.02183087673041904}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.49152604853048065,0.044859381863813885,18,0.0,1.0,0.44666666666666677,0.49152604853048065,1,0,0.044859381863813885,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7336209679559412, ""water"": 0.2934483871823765, ""transport"": 0.3668104839779706}","{""energy"": 0.06695430128927449, ""water"": 0.02678172051570976, ""transport"": 0.033477150644637244}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.49152604853048065,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,3,3,16231202705897451784,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=3|seed=16231202705897451784,False,"{""step_1_amount"": 0.026401313630532757}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.829024901716126,0.3823582350494592,11,0.0,1.0,0.44666666666666677,0.829024901716126,1,1,0.3823582350494592,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.9691003420586799, ""water"": 0.4712825496421802, ""transport"": 1.0}","{""energy"": 0.30243367539201316, ""water"": 0.20461588297551347, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.829024901716126,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,4,4,16516850713144165433,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=4|seed=16516850713144165433,False,"{""step_1_amount"": 0.014876467218691448}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6475301249300802,0.20086345826341345,11,0.0,1.0,0.44666666666666677,0.6475301249300802,1,1,0.20086345826341345,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8062254587208537, ""water"": 0.46145592263521085, ""transport"": 0.6220105488372513}","{""energy"": 0.13955879205418698, ""water"": 0.19478925596854413, ""transport"": 0.2886772155039179}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.6475301249300802,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,5,5,638480941145962202,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=5|seed=638480941145962202,False,"{""step_1_amount"": 0.03591213662608318}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.5215388825307008,0.07487221586403403,8,0.0,1.0,0.44666666666666677,0.5215388825307008,1,0,0.07487221586403403,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7784162425831356, ""water"": 0.31136649703325425, ""transport"": 0.3892081212915678}","{""energy"": 0.11174957591646884, ""water"": 0.044699830366587534, ""transport"": 0.05587478795823442}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.5215388825307008,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,6,6,1850675761291901737,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=6|seed=1850675761291901737,False,"{""step_1_amount"": 0.015190887843286639}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7979883875908831,0.3513217209242163,15,0.0,1.0,0.44666666666666677,0.7979883875908831,1,1,0.3513217209242163,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.9250396190679879, ""water"": 0.4265751332122932, ""transport"": 1.0}","{""energy"": 0.2583729524013212, ""water"": 0.15990846654562646, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.7979883875908831,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,7,7,4364626042913279780,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=7|seed=4364626042913279780,False,"{""step_1_amount"": 0.013644105125077133}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6457592399492021,0.19909257328253538,17,0.0,1.0,0.44666666666666677,0.6457592399492021,1,1,0.19909257328253538,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8070425226985254, ""water"": 0.42478555139881624, ""transport"": 0.6516885515004904}","{""energy"": 0.14037585603185865, ""water"": 0.15811888473214952, ""transport"": 0.31835521816715706}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.6457592399492021,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,8,8,1984633518365568483,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=8|seed=1984633518365568483,False,"{""step_1_amount"": 0.030847750294017273}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.5546678664088446,0.10800119974217781,17,0.0,1.0,0.44666666666666677,0.5546678664088446,1,1,0.10800119974217781,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7808890059665031, ""water"": 0.3985295720841742, ""transport"": 0.40917797465663697}","{""energy"": 0.11422233929983638, ""water"": 0.1318629054175075, ""transport"": 0.0758446413233036}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.5546678664088446,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,9,9,182900992343669894,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=9|seed=182900992343669894,False,"{""step_1_amount"": 0.02048659709424177}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6012688047059501,0.15460213803928335,24,0.0,1.0,0.44666666666666677,0.6012688047059501,1,1,0.15460213803928335,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7986361579490349, ""water"": 0.3483374562129489, ""transport"": 0.5910436822081715}","{""energy"": 0.13196949128236812, ""water"": 0.08167078954628221, ""transport"": 0.2577103488748381}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.6012688047059501,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,10,10,17214301901029362506,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=10|seed=17214301901029362506,False,"{""step_1_amount"": 0.0017672090787058349}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.4502250453139164,0.003558378647249616,22,0.0,0.0,0.44666666666666677,0.4502250453139164,0,0,0.003558378647249616,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.6719776795730095, ""water"": 0.2687910718292038, ""transport"": 0.33598883978650473}","{""energy"": 0.005311012906342727, ""water"": 0.0021244051625370908, ""transport"": 0.0026555064531713635}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.4502250453139164,,,[],,v1.0,0.7,0.3
