scenario_id,run_id,run,seed,cache_key,cache_hit,randomized_params,x0_hash,before,after,delta,duration,method_cl_total_before,method_cl_total_after,method_q_total_before,method_q_total_after,I_cl,I_q,delta_R,before_vec_q,after_vec_q,delta_vec_q,before_vec_cl,after_vec_cl,delta_vec_cl,theta_classical,delta_sector_threshold,theta_node,method_qi_total_before,method_qi_total_after,delta_qi,I_qi,before_vec_qi,after_vec_qi,delta_vec_qi,convergence_steps,peak_after_q,final_after_recovery_q,recovery_trajectory_q,cl_activated_sectors,cl_first_activation_step,matrix_version,theta_bin,theta_cascade
S4_water_partial,1,1,10218839302848591282,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=1|seed=10218839302848591282,False,"{""step_1_amount"": 1.1461148427034553}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.9572268526836635,0.5105601860169967,6,0.0,1.0,0.44666666666666677,0.9572268526836635,1,1,0.5105601860169967,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.9527810852502359, ""water"": 1.0, ""transport"": 0.9203813952785637}","{""energy"": 0.2861144185835691, ""water"": 0.7333333333333333, ""transport"": 0.5870480619452303}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.9572268526836635,,,"[""energy"", ""transport""]",1,v1.0,0.7,0.3
S4_water_partial,2,2,1551714282877654289,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=2|seed=1551714282877654289,False,"{""step_1_amount"": 1.1220062549469612}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,1.0,0.5533333333333332,12,0.0,1.0,0.44666666666666677,1.0,1,1,0.5533333333333332,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",2,1.0,,,"[""energy"", ""transport""]",1,v1.0,0.7,0.3
S4_water_partial,3,3,17165758592708349444,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=3|seed=17165758592708349444,False,"{""step_1_amount"": 1.040599991671753}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.8366666666666667,0.3899999999999999,30,0.0,1.0,0.44666666666666677,0.8366666666666667,1,1,0.3899999999999999,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8666666666666667, ""water"": 1.0, ""transport"": 0.6333333333333333}","{""energy"": 0.19999999999999996, ""water"": 0.7333333333333333, ""transport"": 0.29999999999999993}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.8366666666666667,,,"[""energy"", ""transport""]",1,v1.0,0.7,0.3
S4_water_partial,4,4,10277558166160841261,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=4|seed=10277558166160841261,False,"{""step_1_amount"": 0.9457395561892179}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.8251363223568755,0.37846965569020874,15,0.0,1.0,0.44666666666666677,0.8251363223568755,1,1,0.37846965569020874,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8531015557139712, ""water"": 1.0, ""transport"": 0.6129856669042901}","{""energy"": 0.18643488904730443, ""water"": 0.7333333333333333, ""transport"": 0.27965233357095676}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.8251363223568755,,,"[""energy"", ""transport""]",1,v1.0,0.7,0.3
S4_water_partial,5,5,8113601936823812339,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=5|seed=8113601936823812339,False,"{""step_1_amount"": 1.6013276212521503}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,1.0,0.5533333333333332,6,0.0,1.0,0.44666666666666677,1.0,1,1,0.5533333333333332,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",2,1.0,,,"[""energy"", ""transport""]",1,v1.0,0.7,0.3
S4_water_partial,6,6,13820126298588664351,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=6|seed=13820126298588664351,False,"{""step_1_amount"": 0.6164770005228806}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.691346904473859,0.24468023780719228,6,0.0,0.0,0.44666666666666677,0.691346904473859,0,1,0.24468023780719228,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.770785916797387, ""water"": 0.7872629173202674, ""transport"": 0.4895122085294136}","{""energy"": 0.10411925013072021, ""water"": 0.5205962506536007, ""transport"": 0.1561788751960802}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.691346904473859,,,[],,v1.0,0.7,0.3
S4_water_partial,7,7,15259738130958010352,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=7|seed=15259738130958010352,False,"{""step_1_amount"": 0.23312410975529768}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.46612708114790413,0.019460414481237365,21,0.0,0.0,0.44666666666666677,0.46612708114790413,0,0,0.019460414481237365,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.6749476941054912, ""water"": 0.3080718038607888, ""transport"": 0.34575487449157}","{""energy"": 0.008281027438824418, ""water"": 0.04140513719412209, ""transport"": 0.012421541158236626}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.46612708114790413,,,[],,v1.0,0.7,0.3
S4_water_partial,8,8,10904579800364905174,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=8|seed=10904579800364905174,False,"{""step_1_amount"": 1.0308609430324807}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.8366666666666667,0.3899999999999999,20,0.0,1.0,0.44666666666666677,0.8366666666666667,1,1,0.3899999999999999,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8666666666666667, ""water"": 1.0, ""transport"": 0.6333333333333333}","{""energy"": 0.19999999999999996, ""water"": 0.7333333333333333, ""transport"": 0.29999999999999993}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.8366666666666667,,,"[""energy"", ""transport""]",1,v1.0,0.7,0.3
S4_water_partial,9,9,13386037884783960972,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=9|seed=13386037884783960972,False,"{""step_1_amount"": 1.402754744561847}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.8366666666666667,0.3899999999999999,17,0.0,1.0,0.44666666666666677,0.8366666666666667,1,1,0.3899999999999999,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.8666666666666667, ""water"": 1.0, ""transport"": 0.6333333333333333}","{""energy"": 0.19999999999999996, ""water"": 0.7333333333333333, ""transport"": 0.29999999999999993}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.8366666666666667,,,"[""energy"", ""transport""]",1,v1.0,0.7,0.3
S4_water_partial,10,10,14060088024156388616,scenario=S4_water_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=10|seed=14060088024156388616,False,"{""step_1_amount"": 0.3616876170943415}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.5416581417095924,0.0949914750429256,28,0.0,0.0,0.44666666666666677,0.5416581417095924,0,0,0.0949914750429256,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7070885709402521, ""water"": 0.46877618803459353, ""transport"": 0.39396618974371145}","{""energy"": 0.040421904273585385, ""water"": 0.20210952136792681, ""transport"": 0.06063285641037808}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.5416581417095924,,,[],,v1.0,0.7,0.3
