rho_A,rho_rec,lambda_growth,K_NLDR,K_q,mean_delta,mean_max_x,p95_max_x,discriminating
0.3,0.05,0.25,0.65,1.0,0.491,0.791,0.955,1
0.3,0.1,0.2,0.29,1.0,0.414,0.714,0.864,1
0.3,0.2,0.1,0.0,0.99,0.241,0.541,0.654,0
0.3,0.3,0.0,0.0,0.635,0.118,0.418,0.5,0
0.3,0.5,-0.2,0.0,0.0,0.018,0.318,0.351,0
0.4,0.05,0.35,0.96,1.0,0.598,0.898,1.0,0
0.4,0.1,0.3,0.915,1.0,0.565,0.865,1.0,0
0.4,0.2,0.2,0.37,1.0,0.428,0.728,0.877,1
0.4,0.3,0.1,0.0,1.0,0.252,0.552,0.662,0
0.4,0.5,-0.1,0.0,0.055,0.052,0.352,0.406,0
0.5,0.05,0.45,1.0,1.0,0.656,0.956,1.0,0
0.5,0.1,0.4,0.995,1.0,0.631,0.931,1.0,0
0.5,0.2,0.3,0.955,1.0,0.585,0.885,1.0,0
0.5,0.3,0.2,0.41,1.0,0.436,0.736,0.883,1
0.5,0.5,0.0,0.0,0.745,0.133,0.433,0.509,0
0.6,0.05,0.55,1.0,1.0,0.682,0.982,1.0,0
0.6,0.1,0.5,1.0,1.0,0.667,0.967,1.0,0
0.6,0.2,0.4,0.995,1.0,0.635,0.935,1.0,0
0.6,0.3,0.3,0.98,1.0,0.601,0.901,1.0,0
0.6,0.5,0.1,0.0,1.0,0.263,0.563,0.671,0
0.7,0.05,0.65,1.0,1.0,0.692,0.992,1.0,0
0.7,0.1,0.6,1.0,1.0,0.684,0.984,1.0,0
0.7,0.2,0.5,1.0,1.0,0.661,0.961,1.0,0
0.7,0.3,0.4,1.0,1.0,0.643,0.943,1.0,0
0.7,0.5,0.2,0.44,1.0,0.444,0.744,0.884,1
