load_amount,K_cl,K_q,delta_K,Delta_percent,mean_delta,p95_delta,runs,elapsed_s
0.1,0.106,0.364,0.258,243.39622641509436,0.15782459236077173,0.3472068047213144,500,85.3
0.15,0.142,0.642,0.5,352.11267605633805,0.19690311619658588,0.3541051827957924,500,85.5
0.2,0.18,0.782,0.602,334.4444444444445,0.22928675048134037,0.3607851509197253,500,85.4
0.25,0.232,0.866,0.634,273.2758620689655,0.2556994987023255,0.3657419180731756,500,85.6
0.3,0.314,0.902,0.588,187.26114649681531,0.27672721219143687,0.3706499078793326,500,85.6
0.35,0.438,0.93,0.492,112.32876712328768,0.29291167033663396,0.37396046977721165,500,85.5
0.4,0.526,0.944,0.418,79.467680608365,0.3056859911223059,0.38024134826332223,500,85.5
0.45,0.612,0.964,0.352,57.51633986928104,0.31585686114362616,0.38525098926136203,500,85.2
0.5,0.676,0.97,0.294,43.49112426035502,0.324222923498805,0.38733384819421635,500,89.4
0.52,0.688,0.974,0.286,41.56976744186047,0.327155070449142,0.3885568627214251,500,88.7
0.55,0.718,0.978,0.26,36.211699164345404,0.3311606414730574,0.39119898645941453,500,89.7
0.57,0.736,0.978,0.242,32.880434782608695,0.33358247974696853,0.3919675593499923,500,89.9
0.6,0.762,0.978,0.216,28.346456692913378,0.3368542497448214,0.3933788810327694,500,88.6
