scenario_id,run_id,run,seed,cache_key,cache_hit,randomized_params,x0_hash,before,after,delta,duration,method_cl_total_before,method_cl_total_after,method_q_total_before,method_q_total_after,I_cl,I_q,delta_R,before_vec_q,after_vec_q,delta_vec_q,before_vec_cl,after_vec_cl,delta_vec_cl,theta_classical,delta_sector_threshold,theta_node,method_qi_total_before,method_qi_total_after,delta_qi,I_qi,before_vec_qi,after_vec_qi,delta_vec_qi,convergence_steps,peak_after_q,final_after_recovery_q,recovery_trajectory_q,cl_activated_sectors,cl_first_activation_step,matrix_version,theta_bin,theta_cascade
S1b_energy_partial,1,1,7503052176777656031,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=1|seed=7503052176777656031,False,"{""step_1_amount"": 0.006271864407011764}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7555340428407251,0.30886737617405835,10,0.0,0.0,0.44666666666666677,0.7555340428407251,0,1,0.30886737617405835,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.870714365897875, ""water"": 0.39764930698686296, ""transport"": 0.9598450146183874}","{""energy"": 0.20404769923120825, ""water"": 0.13098264032019624, ""transport"": 0.6265116812850541}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.7555340428407251,,,[],,v1.0,0.7,0.3
S1b_energy_partial,2,2,5972002773307931991,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=2|seed=5972002773307931991,False,"{""step_1_amount"": 0.01091543836520952}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.4688488257712511,0.02218215910458432,18,0.0,0.0,0.44666666666666677,0.4688488257712511,0,0,0.02218215910458432,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.6997743668227628, ""water"": 0.2799097467291051, ""transport"": 0.3498871834113814}","{""energy"": 0.0331077001560961, ""water"": 0.013243080062438406, ""transport"": 0.01655385007804805}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.4688488257712511,,,[],,v1.0,0.7,0.3
S1b_energy_partial,3,3,16231202705897451784,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=3|seed=16231202705897451784,False,"{""step_1_amount"": 0.013200656815266379}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.807590502856836,0.3609238361901692,11,0.0,1.0,0.44666666666666677,0.807590502856836,1,1,0.3609238361901692,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.9278803442523529, ""water"": 0.45479455051964934, ""transport"": 1.0}","{""energy"": 0.26121367758568614, ""water"": 0.18812788385298262, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",3,0.807590502856836,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,4,4,16516850713144165433,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=4|seed=16516850713144165433,False,"{""step_1_amount"": 0.007438233609345724}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6322397675743123,0.18557310090764556,11,0.0,0.0,0.44666666666666677,0.6322397675743123,0,1,0.18557310090764556,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.783404029831648, ""water"": 0.4523273510795286, ""transport"": 0.6105998343926484}","{""energy"": 0.11673736316498129, ""water"": 0.18566068441286188, ""transport"": 0.27726650105931505}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.6322397675743123,,,[],,v1.0,0.7,0.3
S1b_energy_partial,5,5,638480941145962202,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=5|seed=638480941145962202,False,"{""step_1_amount"": 0.01795606831304159}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.4834182784272679,0.036751611760601155,8,0.0,1.0,0.44666666666666677,0.4834182784272679,1,0,0.036751611760601155,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.721519818548161, ""water"": 0.28860792741926444, ""transport"": 0.3607599092740805}","{""energy"": 0.05485315188149431, ""water"": 0.021941260752597724, ""transport"": 0.027426575940747155}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.4834182784272679,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,6,6,1850675761291901737,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=6|seed=1850675761291901737,False,"{""step_1_amount"": 0.007595443921643319}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.7858646381530348,0.339197971486368,15,0.0,1.0,0.44666666666666677,0.7858646381530348,1,1,0.339197971486368,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.901724716302895, ""water"": 0.417249172106256, ""transport"": 1.0}","{""energy"": 0.23505804963622823, ""water"": 0.1505825054395893, ""transport"": 0.6666666666666666}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.7858646381530348,,,"[""water"", ""transport""]",2,v1.0,0.7,0.3
S1b_energy_partial,7,7,4364626042913279780,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=7|seed=4364626042913279780,False,"{""step_1_amount"": 0.006822052562538566}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.6317617422006674,0.18509507553400062,17,0.0,0.0,0.44666666666666677,0.6317617422006674,0,1,0.18509507553400062,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7861507350141451, ""water"": 0.4164288363250641, ""transport"": 0.6412426576583004}","{""energy"": 0.11948406834747838, ""water"": 0.1497621696583974, ""transport"": 0.307909324324967}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.6317617422006674,,,[],,v1.0,0.7,0.3
S1b_energy_partial,8,8,1984633518365568483,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=8|seed=1984633518365568483,False,"{""step_1_amount"": 0.015423875147008636}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.5221779757367168,0.07551130907004999,17,0.0,1.0,0.44666666666666677,0.5221779757367168,1,1,0.07551130907004999,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7323966318289988, ""water"": 0.3791326224291725, ""transport"": 0.3849317875878848}","{""energy"": 0.0657299651623321, ""water"": 0.11246595576250579, ""transport"": 0.05159845425455145}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.5221779757367168,,,"[""water"", ""transport""]",1,v1.0,0.7,0.3
S1b_energy_partial,9,9,182900992343669894,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=9|seed=182900992343669894,False,"{""step_1_amount"": 0.010243298547120885}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.5800316146226129,0.1333649479559461,24,0.0,0.0,0.44666666666666677,0.5800316146226129,0,1,0.1333649479559461,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.7669388593171884, ""water"": 0.33565853676021035, ""transport"": 0.5751950328922482}","{""energy"": 0.10027219265052167, ""water"": 0.06899187009354363, ""transport"": 0.2418616995589148}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.5800316146226129,,,[],,v1.0,0.7,0.3
S1b_energy_partial,10,10,17214301901029362506,scenario=S1b_energy_partial|method=both|duration=0|theta=0.300000|delta_threshold=0.100000|A=v1.0|w=na|run_id=10|seed=17214301901029362506,False,"{""step_1_amount"": 0.0008836045393529174}",5222c37788a096d3910624247b4a1e76a3afcfe0df2ea7ddd6490cebc16a26a9,0.44666666666666677,0.448444282500186,0.0017776158335192083,22,0.0,0.0,0.44666666666666677,0.448444282500186,0,0,0.0017776158335192083,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 0.6693198246271432, ""water"": 0.2677279298508573, ""transport"": 0.3346599123135716}","{""energy"": 0.002653157960476493, ""water"": 0.0010612631841905862, ""transport"": 0.0013265789802382466}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}","{""energy"": 0.0, ""water"": 0.0, ""transport"": 0.0}",0.3,0.1,,0.44666666666666677,1.0,0.5533333333333332,1,"{""energy"": 0.6666666666666667, ""water"": 0.2666666666666667, ""transport"": 0.33333333333333337}","{""energy"": 1.0, ""water"": 1.0, ""transport"": 1.0}","{""energy"": 0.33333333333333326, ""water"": 0.7333333333333333, ""transport"": 0.6666666666666666}",4,0.448444282500186,,,[],,v1.0,0.7,0.3
