theta_node,n,tp,fp,fn,tn,K_cl,K_q,delta_K,sensitivity_TPR,FPR,PPV_precision,F1
0.2,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.25,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.3,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.35,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.4,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.45,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.5,500,87,0,385,28,0.174,0.944,0.77,0.1843,0.0,1.0,0.3113
0.55,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.6,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.65,500,0,0,472,28,0.0,0.944,0.944,0.0,0.0,0.0,0.0
0.7,500,263,0,209,28,0.526,0.944,0.418,0.5572,0.0,1.0,0.7156
0.75,500,215,0,257,28,0.43,0.944,0.514,0.4555,0.0,1.0,0.6259
0.8,500,148,0,324,28,0.296,0.944,0.648,0.3136,0.0,1.0,0.4774
0.85,500,100,0,372,28,0.2,0.944,0.744,0.2119,0.0,1.0,0.3497
0.9,500,51,0,421,28,0.102,0.944,0.842,0.1081,0.0,1.0,0.195
