rho_floor,epsilon_cl,delta,rho_eff,max_abs_a,K_leontief,K_cl,K_DR,K_q_deg,K_q_abs,D_leontief,D_cl,D_DR,D_q_deg,D_q_abs,max_pair_dK,is_marginal,is_working
None,0.001,0.05,0.021975,0.036239,0,0,0,1.0,0.999,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,1.0,False,False
None,0.001,0.1,0.021975,0.036239,0,0,0,1.0,0.998,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,1.0,False,False
None,0.001,0.2,0.021975,0.036239,0,0,0,0.999,0.993,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,0.999,False,False
None,0.01,0.05,0.021975,0.036239,0,0,0,1.0,0.999,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,1.0,False,False
None,0.01,0.1,0.021975,0.036239,0,0,0,1.0,0.998,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,1.0,False,False
None,0.01,0.2,0.021975,0.036239,0,0,0,0.999,0.993,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,0.999,False,False
None,0.05,0.05,0.021975,0.036239,0,0,0,1.0,0.999,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,1.0,False,False
None,0.05,0.1,0.021975,0.036239,0,0,0,1.0,0.998,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,1.0,False,False
None,0.05,0.2,0.021975,0.036239,0,0,0,0.999,0.993,0.349344,0.0,0.335212,0.7413867417270585,0.5066012200770141,0.999,False,False
0.3,0.001,0.05,0.3,0.494734,1,0,0,1.0,1.0,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.001,0.1,0.3,0.494734,1,0,0,1.0,0.998,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.001,0.2,0.3,0.494734,1,0,0,1.0,0.994,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.01,0.05,0.3,0.494734,1,0,0,1.0,1.0,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.01,0.1,0.3,0.494734,1,0,0,1.0,0.998,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.01,0.2,0.3,0.494734,1,0,0,1.0,0.994,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.05,0.05,0.3,0.494734,1,0,0,1.0,1.0,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.05,0.1,0.3,0.494734,1,0,0,1.0,0.998,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.3,0.05,0.2,0.3,0.494734,1,0,0,1.0,0.994,0.611434,0.0,0.335212,0.9713188714406532,0.6327452741410661,1,False,False
0.5,0.001,0.05,0.5,0.824557,1,0,0,1.0,1.0,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.001,0.1,0.5,0.824557,1,0,0,1.0,1.0,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.001,0.2,0.5,0.824557,1,0,0,1.0,0.994,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.01,0.05,0.5,0.824557,1,0,0,1.0,1.0,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.01,0.1,0.5,0.824557,1,0,0,1.0,1.0,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.01,0.2,0.5,0.824557,1,0,0,1.0,0.994,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.05,0.05,0.5,0.824557,1,0,0,1.0,1.0,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.05,0.1,0.5,0.824557,1,0,0,1.0,1.0,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.5,0.05,0.2,0.5,0.824557,1,0,0,1.0,0.994,0.912233,0.0,0.335212,0.9929148717505238,0.6826938106333945,1,False,False
0.7,0.001,0.05,0.7,1.15438,1,0,0,1.0,1.0,0.980045,0.0,0.335212,0.9979762629183776,0.7087096348208666,1,False,False
0.7,0.001,0.1,0.7,1.15438,1,0,0,1.0,1.0,0.980045,0.0,0.335212,0.9979762629183776,0.7087096348208666,1,False,False
0.7,0.001,0.2,0.7,1.15438,1,0,0,1.0,0.999,0.980045,0.0,0.335212,0.9979762629183776,0.7087096348208666,1,False,False
