severity,K_cl,K_q,delta_K,mean_delta,runs,elapsed_s
0.1,0.0,0.0,0.0,0.0005,500,222.7
0.15,0.0,0.0,0.0,0.0061,500,224.4
0.2,0.0,0.016,0.016,0.0218,500,224.9
0.25,0.0,0.048,0.048,0.045,500,163.7
0.3,0.006,0.126,0.12,0.072,500,268.4
0.35,0.018,0.248,0.23,0.1009,500,233.0
0.4,0.044,0.376,0.332,0.1304,500,199.1
0.45,0.066,0.496,0.43,0.1596,500,168.9
0.5,0.118,0.586,0.468,0.1884,500,159.6
0.6,0.252,0.726,0.474,0.2429,500,102.1
0.7,0.408,0.82,0.412,0.2911,500,101.3
0.8,0.536,0.868,0.332,0.3309,500,103.6
