theta_node,K_cl,K_q,delta_K,Delta_percent,mean_delta,p95_delta,runs,elapsed_s
0.2,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,87.8
0.25,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,88.3
0.3,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,87.9
0.35,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,89.3
0.4,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,92.5
0.45,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,92.5
0.5,0.174,0.944,0.77,442.52873563218395,0.3056859911223059,0.38024134826332223,500,108.2
0.55,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,129.5
0.6,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,90.9
0.65,0.0,0.944,0.944,94399999999.99998,0.3056859911223059,0.38024134826332223,500,89.7
0.7,0.526,0.944,0.418,79.467680608365,0.3056859911223059,0.38024134826332223,500,86.9
0.75,0.43,0.944,0.514,119.53488372093024,0.3056859911223059,0.38024134826332223,500,85.5
0.8,0.296,0.944,0.648,218.9189189189189,0.3056859911223059,0.38024134826332223,500,85.5
0.85,0.2,0.944,0.744,372.0,0.3056859911223059,0.38024134826332223,500,85.6
0.9,0.102,0.944,0.842,825.4901960784315,0.3056859911223059,0.38024134826332223,500,85.6
